Timestamp;WS_1;WS_2;WS_3;WS_4;WD_1;WD_2;WD_3;WD_4;TEMP_1;RH_1;BP_1
03.04.2017 3:25;9.089797;9.192285;9.13956;7.4551;171.5;173.2;169.5;19.46;0.568;65.78;980.985
03.04.2017 3:35;8.807065;8.877542;8.939361;7.453484;175.4;177.2;173.5;19.46;0.837;64.57;981.0222
03.04.2017 3:45;8.470693;8.533812;8.523706;7.054334;173.3;175.2;171.1;19.5;0.589;65.93;981.0305
03.04.2017 3:55;8.220469;8.276014;8.29586;6.961898;173.5;175.2;171.6;19.53;0.593;65.85;980.9854
03.04.2017 4:05;7.854971;7.912612;7.916433;6.665268;172.5;174.1;170.8;19.48;0.319;66.92;980.9826
03.04.2017 4:15;7.610127;7.678627;7.54654;6.417898;174.2;175.9;172.5;19.56;0.41;66.73;980.9738
03.04.2017 4:25;7.432834;7.501585;7.353014;6.19377;175.7;177.5;173.8;19.58;0.437;66.58;981.042
03.04.2017 4:35;7.536427;7.598906;7.428327;6.33739;177.3;179.3;175.4;19.56;0.552;66.19;981.0303
03.04.2017 4:45;7.369817;7.434288;7.207153;6.136815;180;181.7;178.1;19.6;0.437;66.77;981.041
03.04.2017 4:55;7.331007;7.395981;7.190947;6.091866;181.5;183.2;179.5;19.57;0.437;66.92;981.09
03.04.2017 5:05;7.53366;7.594765;7.475993;6.210165;181.6;183.4;180;19.64;0.539;66.61;981.1157
03.04.2017 5:15;7.897699;7.95299;7.84112;6.528652;184.8;186.6;183.6;19.77;0.922;65;981.1631
03.04.2017 5:25;8.199183;8.259449;8.160486;6.777947;185.4;187.2;184.2;19.77;1.658;62.29;981.2575
03.04.2017 5:35;8.397916;8.454092;8.300627;6.786029;185.7;187.6;184.4;19.76;2.049;61.3;981.3812
03.04.2017 5:45;9.044608;9.098069;8.822101;6.980754;186.2;188.1;184.9;19.87;2.217;62.23;981.3704
03.04.2017 5:55;9.4898;9.547404;9.335946;7.310942;189.8;191.9;188.4;20;2.969;60.78;981.3264
03.04.2017 6:05;9.595546;9.656114;9.573326;7.542995;191.7;193.7;190.2;19.83;3.95;59;981.4393
03.04.2017 6:15;9.263401;9.314453;9.334993;7.470878;191.6;193.6;190.5;19.8;4.787;57.23;981.5149
